,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2014-01-04,2.5416666666666665,88.33333333333333,975.3416666666668,,,,,69.1304347826087,43.26086956521739,78.0,38.645833333333336,35.00833333333333,786.4000000000001,1,,,,,4,0,0,0,1
2014-01-05,6.4125000000000005,92.04166666666669,968.2708333333334,,,,,24.82608695652174,27.65217391304348,34.26086956521739,26.25454545454545,38.645833333333336,718.3,1,786.4000000000001,,,,5,0,0,1,1
2014-01-06,5.870833333333334,90.33333333333331,978.0916666666668,,,,,26.454545454545453,30.954545454545453,37.31818181818182,19.258333333333333,26.25454545454545,517.3,1,718.3,786.4000000000001,,,6,1,0,0,0
2014-01-07,2.6083333333333334,95.20833333333331,980.2875,,,,,95.65217391304348,38.0,96.52173913043478,39.37083333333333,19.258333333333333,733.2,1,517.3,718.3,786.4000000000001,,7,0,1,0,0
2014-01-08,0.8166666666666668,98.75,983.025,,,,,117.21739130434784,37.08695652173913,113.3913043478261,36.9625,39.37083333333333,958.3,2,733.2,517.3,718.3,786.4000000000001,8,0,0,0,0
2014-01-09,1.3791666666666669,96.29166666666669,978.3304347826088,,,,,161.17391304347825,44.0,152.30434782608697,40.15,36.9625,962.1,2,958.3,733.2,517.3,718.3,9,0,0,0,0
2014-01-10,2.9625,92.58333333333331,976.025,,,,,102.34782608695652,42.130434782608695,104.08695652173913,34.40416666666667,40.15,987.4,2,962.1,958.3,733.2,517.3,10,0,0,0,0
2014-01-11,3.641666666666667,86.20833333333333,978.825,,,,,35.17391304347826,37.869565217391305,48.0,40.66666666666666,34.40416666666667,1012.2,2,987.4,962.1,958.3,733.2,11,0,0,0,1
2014-01-12,3.0083333333333333,88.95833333333333,980.9625,,,,,52.65217391304348,32.26086956521739,59.26086956521739,35.87916666666667,40.66666666666666,878.1999999999999,2,1012.2,987.4,962.1,958.3,12,0,0,0,1
2014-01-13,2.825,81.75,976.4541666666668,,,,,87.47826086956522,50.52173913043478,96.52173913043478,47.97916666666666,35.87916666666667,616.8,1,878.1999999999999,1012.2,987.4,962.1,13,0,0,0,0
2014-01-14,3.6208333333333336,86.41666666666667,968.3166666666666,,,,,76.52173913043478,45.869565217391305,85.30434782608695,48.52916666666667,47.97916666666666,751.2,1,616.8,878.1999999999999,1012.2,987.4,14,0,0,0,0
2014-01-15,5.3,91.66666666666669,970.75,,,,,51.30434782608695,37.21739130434783,60.56521739130435,47.80416666666667,48.52916666666667,972.2,2,751.2,616.8,878.1999999999999,1012.2,15,0,0,0,0
2014-01-16,4.25,87.45833333333333,971.3875,,,,,34.78260869565217,34.69565217391305,46.08695652173913,50.4375,47.80416666666667,999.4,2,972.2,751.2,616.8,878.1999999999999,16,0,0,0,0
