,temp,rh,pressure,precip,radiation,windDirDeg,windsp,windPeak,windDirClass,o3,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2014-01-04,5.179166666666666,74.66666666666667,975.3416666666668,0.00625,27.8875,210.9583333333333,0.8125,2.8375,9.0,6.173913043478261,34.04347826086956,43.52173913043478,50.0,23.195833333333336,21.39583333333333,946.625,2,,,,,4,0,0,0,1
2014-01-05,6.945833333333333,88.5,968.2708333333334,0.1320833333333333,18.945833333333333,173.125,1.1125,3.333333333333333,8.0,17.130434782608695,8.73913043478261,23.08695652173913,19.17391304347826,18.841666666666665,23.195833333333336,887.5,2,946.625,,,,5,0,0,1,1
2014-01-06,6.8375,81.41666666666667,978.0916666666668,0.0,61.31666666666666,193.875,0.5791666666666667,1.9041666666666663,9.0,19.565217391304348,5.869565217391305,23.565217391304348,16.956521739130434,10.958333333333334,18.841666666666665,623.5,1,887.5,946.625,,,6,1,0,0,0
2014-01-07,3.779166666666667,90.29166666666669,980.2875,0.0,32.87916666666667,139.91666666666666,0.4666666666666667,1.775,6.0,1.0434782608695652,67.17391304347827,34.0,71.65217391304348,27.40833333333333,10.958333333333334,895.75,2,623.5,887.5,946.625,,7,0,1,0,0
2014-01-08,2.1166666666666667,92.04166666666669,983.025,0.0,49.11666666666667,155.16666666666666,0.4333333333333333,1.4458333333333335,7.0,0.8260869565217391,143.7391304347826,43.65217391304348,138.08695652173913,46.69583333333333,27.40833333333333,1176.75,2,895.75,623.5,887.5,946.625,8,0,0,0,0
2014-01-09,2.313043478260869,91.0,978.3304347826088,0.0,45.45217391304348,141.3913043478261,0.3869565217391305,1.3956521739130436,6.0,0.5454545454545454,186.27272727272728,48.45454545454545,174.63636363636363,49.93478260869565,46.69583333333333,1180.5,2,1176.75,895.75,623.5,887.5,9,0,0,0,0
2014-01-10,3.2375000000000003,87.83333333333333,976.025,0.0,52.775,201.91666666666663,0.4125,1.7375,9.0,2.8260869565217392,84.1304347826087,39.04347826086956,87.95652173913044,38.04583333333333,49.93478260869565,1230.875,2,1180.5,1176.75,895.75,623.5,10,0,0,0,0
2014-01-11,3.470833333333333,84.125,978.825,0.0,45.69166666666666,129.41666666666666,0.6291666666666667,1.7458333333333331,6.0,2.869565217391304,26.454545454545453,36.13636363636363,40.13636363636363,30.766666666666666,38.04583333333333,1253.125,2,1230.875,1180.5,1176.75,895.75,11,0,0,0,1
2014-01-12,3.6916666666666655,86.54166666666667,980.9625,0.0,65.27916666666667,208.8333333333333,0.5291666666666667,1.8291666666666664,9.0,7.173913043478261,26.695652173913043,27.65217391304348,35.82608695652174,28.745833333333334,30.766666666666666,1109.625,2,1253.125,1230.875,1180.5,1176.75,12,0,0,0,1
2014-01-13,3.4,77.20833333333333,976.4541666666668,0.0,70.50416666666666,146.625,0.6291666666666667,1.875,6.0,2.652173913043478,59.130434782608695,46.56521739130435,71.65217391304348,36.50833333333333,28.745833333333334,810.125,2,1109.625,1253.125,1230.875,1180.5,13,0,0,0,0
2014-01-14,4.0625,81.45833333333333,968.3166666666666,0.0,19.3,77.20833333333333,0.5666666666666667,1.65,3.0,0.2608695652173913,65.8695652173913,44.69565217391305,76.21739130434783,39.145833333333336,36.50833333333333,924.625,2,810.125,1109.625,1253.125,1230.875,14,0,0,0,0
2014-01-15,5.620833333333334,89.79166666666667,970.75,0.0041666666666666,18.78333333333333,134.70833333333334,0.3958333333333333,1.4583333333333333,6.0,4.857142857142857,24.73913043478261,32.82608695652174,37.0,40.454166666666666,39.145833333333336,1180.625,2,924.625,810.125,1109.625,1253.125,15,0,0,0,0
2014-01-16,4.545833333333333,85.375,971.3875,0.0,51.2125,159.45833333333334,0.5041666666666667,1.6833333333333331,7.0,4.478260869565218,18.565217391304348,32.130434782608695,31.73913043478261,36.24166666666667,40.454166666666666,1213.25,2,1180.625,924.625,810.125,1109.625,16,0,0,0,0
2014-01-17,5.4,79.20833333333333,967.7583333333332,0.0,54.11666666666667,104.04166666666669,0.9791666666666666,2.841666666666667,5.0,9.695652173913045,21.26086956521739,38.30434782608695,37.130434782608695,20.191666666666663,36.24166666666667,1225.625,2,1213.25,1180.625,924.625,810.125,17,0,0,0,0
2014-01-18,6.520833333333333,83.66666666666667,968.5,0.0,53.7625,134.75,0.8791666666666668,2.254166666666667,6.0,6.260869565217392,22.73913043478261,37.91304347826087,38.08695652173913,19.20833333333333,20.191666666666663,1245.125,2,1225.625,1213.25,1180.625,924.625,18,0,0,0,1
2014-01-19,6.579166666666667,91.25,965.4541666666668,0.0,27.8875,160.5,0.4791666666666667,1.5208333333333333,7.0,1.9130434782608696,18.52173913043478,34.869565217391305,33.04347826086956,26.8125,19.20833333333333,1098.625,2,1245.125,1225.625,1213.25,1180.625,19,0,0,0,1
2014-01-20,7.008333333333333,93.16666666666669,961.0916666666668,0.0995833333333333,33.2375,105.08333333333331,0.4958333333333333,1.5208333333333333,5.0,1.608695652173913,39.47826086956522,38.04347826086956,51.47826086956522,25.96666666666667,26.8125,821.0,2,1098.625,1245.125,1225.625,1213.25,20,0,0,0,0
2014-01-21,7.949999999999999,68.20833333333333,965.1458333333334,0.0041666666666666,38.85,217.16666666666663,0.9041666666666668,3.016666666666667,10.0,4.173913043478261,13.173913043478262,28.08695652173913,25.26086956521739,8.891666666666667,25.96666666666667,944.5,2,821.0,1098.625,1245.125,1225.625,21,0,0,0,0
2014-01-22,5.020833333333333,80.45833333333333,971.1041666666666,0.0,56.31666666666667,170.625,0.6333333333333333,2.066666666666667,8.0,1.5217391304347827,18.47826086956522,29.82608695652174,30.47826086956522,19.48333333333333,8.891666666666667,1176.5,2,944.5,821.0,1098.625,1245.125,22,0,0,0,0
2014-01-23,3.6208333333333336,92.25,975.6,0.0574999999999999,8.145833333333334,141.70833333333334,0.5,1.6333333333333335,6.0,0.1304347826086956,13.217391304347826,27.91304347826087,25.217391304347824,20.691666666666663,19.48333333333333,1138.0,2,1176.5,944.5,821.0,1098.625,23,0,0,0,0
2014-01-24,1.1416666666666666,94.79166666666669,972.5333333333332,0.2675,7.758333333333333,185.3333333333333,0.3625,1.0416666666666667,8.0,0.5217391304347826,37.52173913043478,29.52173913043478,45.52173913043478,27.35,20.691666666666663,1205.75,2,1138.0,1176.5,944.5,821.0,24,0,0,0,0
2014-01-25,-0.425,87.79166666666667,972.0166666666668,0.0,32.775,196.5833333333333,0.6916666666666668,2.4041666666666663,9.0,16.782608695652176,21.47826086956522,35.0,35.52173913043478,32.025,27.35,1235.75,2,1205.75,1138.0,1176.5,944.5,25,0,0,0,1
2014-01-26,-4.408333333333333,82.0,970.8291666666668,0.0104166666666666,34.7875,181.9583333333333,0.7374999999999999,2.275,8.0,30.60869565217392,2.217391304347826,25.782608695652176,15.26086956521739,46.82916666666667,32.025,1071.5,2,1235.75,1205.75,1138.0,1176.5,26,0,0,0,1
