,temp,pm10,rh,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend,pm10Lag
2009-01-04,-4.8127093,62.070007,85.871666,4,0,0,0,1,53.75
2009-01-05,-6.3693967,89.330025,82.76209,5,0,0,1,0,62.070007
2009-01-06,-3.7875984,112.439964,79.99,6,1,0,0,0,89.330025
2009-01-07,-4.4720206,80.97999,87.08791,7,0,1,0,0,112.439964
2009-01-08,-4.773334,86.800026,85.68206,8,0,0,0,0,80.97999
2009-01-09,-5.4535613,90.99001,79.79749,9,0,0,0,0,86.800026
2009-01-10,-8.305124,100.149956,80.995,10,0,0,0,1,90.99001
2009-01-11,-8.204375,109.20001,80.5423,11,0,0,0,1,100.149956
2009-01-12,-10.784355,112.439964,94.62856,12,0,0,0,0,109.20001
2009-01-13,-9.949415,106.81998,93.30938,13,0,0,0,0,112.439964
2009-01-14,-8.906102,95.95997,91.779594,14,0,0,0,0,106.81998
2009-01-15,-5.090688,121.5,90.73771,15,0,0,0,0,95.95997
2009-01-16,-0.7901798,136.45998,91.115,16,0,0,0,0,121.5
2009-01-17,1.6586214,63.370037,82.42501,17,0,0,0,1,136.45998
2009-01-18,0.19951682,62.540024,84.17082,18,0,0,0,1,63.370037
2009-01-19,-2.0726707,73.14997,88.5973,19,0,0,0,0,62.540024
2009-01-20,2.7712812,48.37999,82.43021,20,0,0,0,0,73.14997
2009-01-21,3.9301274,49.020016,87.90853,21,0,0,0,0,48.37999
2009-01-22,3.8522708,45.890003,92.92856,22,0,0,0,0,49.020016
2009-01-23,2.5571458,27.586014,90.03043,23,0,0,0,0,45.890003
2009-01-24,1.6157187,41.10999,90.0575,24,0,0,0,1,27.586014
2009-01-25,1.4350489,46.229992,91.14249,25,0,0,0,1,41.10999
2009-01-26,2.7760067,45.84999,80.28687,26,0,0,0,0,46.229992
2009-01-27,2.4408336,61.68996,81.20938,27,0,0,0,0,45.84999
2009-01-28,1.7510895,35.060024,91.20603,28,0,0,0,0,61.68996
2009-01-29,2.2597291,14.742003,71.475624,29,0,0,0,0,35.060024
2009-01-30,2.6061254,23.814995,65.59875,30,0,0,0,0,14.742003
2009-01-31,0.18232064,39.189976,83.10874,31,0,0,0,1,23.814995
2009-02-01,-0.45536673,33.199986,72.06708,32,0,0,0,1,39.189976
2009-02-02,-1.3555104,35.209988,86.32334,33,0,0,0,0,33.199986
2009-02-03,-0.6893168,49.050022,93.58188,34,0,0,0,0,35.209988
2009-02-04,0.61343616,39.079987,92.78479,35,0,0,0,0,49.050022
2009-02-05,2.2807064,64.26,91.18936,36,0,0,0,0,39.079987
2009-02-06,2.8144493,43.349987,88.0448,37,0,0,0,0,64.26
2009-02-07,6.013105,42.579983,80.2873,38,0,0,0,1,43.349987
2009-02-08,6.426084,39.790012,85.97021,39,0,0,0,1,42.579983
2009-02-09,5.573271,14.6900015,73.67438,40,0,0,0,0,39.790012
2009-02-10,2.9972448,37.06998,48.758945,41,0,0,0,0,14.6900015
2009-02-11,2.138229,55.449978,77.61271,42,0,0,0,0,37.06998
2009-02-12,4.040833,26.829994,54.825222,43,0,0,0,0,55.449978
2009-02-13,1.3783313,25.942995,49.456665,44,0,0,0,0,26.829994
2009-02-14,0.11894662,18.620989,46.213543,45,0,0,0,1,25.942995
2009-02-15,0.877647,16.934006,49.514584,46,0,0,0,1,18.620989
2009-02-16,-0.0024865717,11.328002,43.961044,47,0,0,0,0,16.934006
2009-02-17,-1.8242742,54.860016,60.650208,48,0,0,0,0,11.328002
2009-02-18,-0.6984833,48.41,72.35021,49,0,0,0,0,54.860016
2009-02-19,-2.2427642,18.463009,48.79417,50,0,0,0,0,48.41
2009-02-20,-2.1018643,,52.661243,51,0,0,0,0,18.463009
2009-02-21,-1.1667496,,60.12187,52,0,0,0,1,
2009-02-22,0.554109,,77.585625,53,0,0,0,1,
2009-02-23,-1.050404,,88.88918,54,0,0,0,0,
2009-02-24,1.1233326,,82.44124,55,0,0,0,0,
2009-02-25,0.40666354,,91.59312,56,0,0,0,0,
2009-02-26,1.6131085,,75.24395,57,0,0,0,0,
2009-02-27,2.2295668,,70.71688,58,0,0,0,0,
2009-02-28,4.107731,,69.32792,59,0,0,0,1,
2009-03-01,7.1943955,,67.57686,60,0,0,0,1,
2009-03-02,6.497286,,76.81832,61,0,0,0,0,
2009-03-03,6.214687,,85.38312,62,0,0,0,0,
2009-03-04,6.568312,61.30003,86.947716,63,0,0,0,0,
2009-03-05,6.866417,35.93002,86.14562,64,0,0,0,0,61.30003
2009-03-06,6.4790196,29.005003,90.90606,65,0,0,0,0,35.93002
2009-03-07,5.560333,18.617002,85.19395,66,0,0,0,1,29.005003
2009-03-08,7.389583,9.252006,44.962708,67,0,0,0,1,18.617002
2009-03-09,7.846084,19.112,37.588543,68,0,0,0,0,9.252006
2009-03-10,5.209979,27.069992,56.141464,69,0,0,0,0,19.112
2009-03-11,5.14871,28.504019,56.205414,70,0,0,0,0,27.069992
2009-03-12,6.464235,20.794004,57.388084,71,0,0,0,0,28.504019
2009-03-13,5.9388556,20.700008,55.16687,72,0,0,0,0,20.794004
2009-03-14,7.1164804,23.056015,59.54062,73,0,0,0,1,20.700008
2009-03-15,7.505083,26.255003,59.980637,74,0,0,0,1,23.056015
2009-03-16,8.09175,22.88399,66.46647,75,0,0,0,0,26.255003
