,pm10,rh,temp,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend,pm10Lag
2009-01-04,53.875248,86.0077,-4.974917,4,0,0,0,1,50.958923
2009-01-05,66.63827,82.48083,-6.829834,5,0,0,1,0,53.875248
2009-01-06,88.5939,80.64147,-4.105206,6,1,0,0,0,66.63827
2009-01-07,67.54909,86.24688,-4.5345826,7,0,1,0,0,88.5939
2009-01-08,80.79663,84.55436,-4.7720833,8,0,0,0,0,67.54909
2009-01-09,92.85251,78.74334,-5.5505004,9,0,0,0,0,80.79663
2009-01-10,87.79523,79.40417,-8.831584,10,0,0,0,1,92.85251
2009-01-11,92.15266,78.907295,-8.872626,11,0,0,0,1,87.79523
2009-01-12,112.07733,92.13105,-10.451937,12,0,0,0,0,92.15266
2009-01-13,117.80059,92.662506,-9.698312,13,0,0,0,0,112.07733
2009-01-14,114.26782,91.45229,-8.738125,14,0,0,0,0,117.80059
2009-01-15,134.25777,90.80499,-5.007584,15,0,0,0,0,114.26782
2009-01-16,122.02561,91.65458,-0.7867674,16,0,0,0,0,134.25777
2009-01-17,45.727047,84.80374,1.6018853,17,0,0,0,1,122.02561
2009-01-18,40.450863,84.88792,-0.016982123,18,0,0,0,1,45.727047
2009-01-19,47.338688,92.324165,-2.3964336,19,0,0,0,0,40.450863
2009-01-20,31.13468,85.68665,2.1597416,20,0,0,0,0,47.338688
2009-01-21,36.17873,87.46209,4.2041516,21,0,0,0,0,31.13468
2009-01-22,35.70967,96.89521,3.7150414,22,0,0,0,0,36.17873
2009-01-23,17.908907,95.88208,2.402458,23,0,0,0,0,35.70967
2009-01-24,30.53077,93.78897,1.6294461,24,0,0,0,1,17.908907
2009-01-25,27.24854,97.514565,1.1854134,25,0,0,0,1,30.53077
2009-01-26,30.89385,85.88854,2.3285086,26,0,0,0,0,27.24854
2009-01-27,44.412334,83.224785,2.2837667,27,0,0,0,0,30.89385
2009-01-28,25.06996,94.69312,1.6201042,28,0,0,0,0,44.412334
2009-01-29,9.628425,74.51645,2.373708,29,0,0,0,0,25.06996
2009-01-30,21.749758,67.32751,2.7317502,30,0,0,0,0,9.628425
2009-01-31,37.892555,84.56771,0.2733399,31,0,0,0,1,21.749758
2009-02-01,29.892092,74.11813,-0.3028661,32,0,0,0,1,37.892555
2009-02-02,30.336855,86.05896,-1.1405573,33,0,0,0,0,29.892092
2009-02-03,39.21585,96.10999,-0.6198002,34,0,0,0,0,30.336855
2009-02-04,28.019875,96.62646,0.7011721,35,0,0,0,0,39.21585
2009-02-05,41.461872,95.859795,2.1201003,36,0,0,0,0,28.019875
2009-02-06,30.904764,92.60563,2.790222,37,0,0,0,0,41.461872
2009-02-07,39.752483,82.80271,5.762621,38,0,0,0,1,30.904764
2009-02-08,35.021194,88.36605,6.2903748,39,0,0,0,1,39.752483
2009-02-09,11.614754,80.935005,5.4326873,40,0,0,0,0,35.021194
2009-02-10,31.37927,51.08583,2.78221,41,0,0,0,0,11.614754
2009-02-11,40.714108,77.216255,1.9084272,42,0,0,0,0,31.37927
2009-02-12,17.187922,57.873135,3.8633335,43,0,0,0,0,40.714108
2009-02-13,22.543764,47.948742,1.3452573,44,0,0,0,0,17.187922
2009-02-14,11.581647,43.823345,-0.060121,45,0,0,0,1,22.543764
2009-02-15,12.576091,45.531876,0.8814106,46,0,0,0,1,11.581647
2009-02-16,7.498075,38.69521,-0.16358058,47,0,0,0,0,12.576091
2009-02-17,42.924107,59.384182,-2.2441936,48,0,0,0,0,7.498075
2009-02-18,37.294533,68.01563,-0.89558697,49,0,0,0,0,42.924107
2009-02-19,10.576257,43.395203,-1.9362979,50,0,0,0,0,37.294533
2009-02-20,21.885504,49.28375,-2.2853248,51,0,0,0,0,10.576257
2009-02-21,41.568035,56.098118,-1.4592605,52,0,0,0,1,21.885504
2009-02-22,35.257347,73.84231,0.4320831,53,0,0,0,1,41.568035
2009-02-23,38.63383,89.95523,-0.84714293,54,0,0,0,0,35.257347
2009-02-24,55.900803,83.81022,1.05091,55,0,0,0,0,38.63383
2009-02-25,33.65808,93.234375,0.11254532,56,0,0,0,0,55.900803
2009-02-26,45.31908,78.5127,1.4042772,57,0,0,0,0,33.65808
2009-02-27,53.38341,72.8152,1.8406664,58,0,0,0,0,45.31908
2009-02-28,40.339077,69.979996,3.7442558,59,0,0,0,1,53.38341
2009-03-01,31.921946,66.6952,6.863396,60,0,0,0,1,40.339077
2009-03-02,32.145477,76.37,6.313967,61,0,0,0,0,31.921946
2009-03-03,48.9989,85.24417,6.2603126,62,0,0,0,0,32.145477
2009-03-04,45.84532,89.95812,6.7087502,63,0,0,0,0,48.9989
2009-03-05,36.38692,88.018555,7.0140195,64,0,0,0,0,45.84532
2009-03-06,21.208742,94.053535,6.471958,65,0,0,0,0,36.38692
2009-03-07,15.616928,90.43417,5.483021,66,0,0,0,1,21.208742
2009-03-08,6.915953,48.210003,7.4395833,67,0,0,0,1,15.616928
2009-03-09,15.398959,39.176456,7.800333,68,0,0,0,0,6.915953
2009-03-10,27.786064,56.145405,4.8865833,69,0,0,0,0,15.398959
2009-03-11,28.368233,53.376038,5.0165257,70,0,0,0,0,27.786064
2009-03-12,17.541452,55.259598,6.0275416,71,0,0,0,0,28.368233
2009-03-13,18.294115,50.65938,5.738152,72,0,0,0,0,17.541452
2009-03-14,22.176786,54.47228,7.0213113,73,0,0,0,1,18.294115
2009-03-15,21.985573,55.97584,7.159439,74,0,0,0,1,22.176786
2009-03-16,17.692215,62.0275,8.028398,75,0,0,0,0,21.985573
2009-03-17,21.883629,58.74708,7.3236012,76,0,0,0,0,17.692215
2009-03-18,35.552563,67.7073,5.8586907,77,0,0,0,0,21.883629
2009-03-19,11.760234,34.37841,8.025958,78,0,0,0,0,35.552563
2009-03-20,20.264593,76.46584,1.7860483,79,0,0,0,0,11.760234
2009-03-21,18.97347,66.48231,0.63781005,80,0,0,0,1,20.264593
2009-03-22,19.36851,45.66396,2.891699,81,0,0,0,1,18.97347
2009-03-23,18.38425,37.63521,6.3426595,82,0,0,0,0,19.36851
2009-03-24,23.479813,40.08146,9.602752,83,0,0,0,0,18.38425
2009-03-25,17.916441,44.5975,5.577769,84,0,0,0,0,23.479813
2009-03-26,21.639809,58.155834,3.2267168,85,0,0,0,0,17.916441
2009-03-27,24.936895,58.813328,4.998714,86,0,0,0,0,21.639809
2009-03-28,28.250816,59.134594,8.231271,87,0,0,0,1,24.936895
2009-03-29,23.075434,64.633125,9.6797285,88,0,0,0,1,28.250816
2009-03-30,20.614862,86.07229,8.45946,89,0,0,0,0,23.075434
2009-03-31,10.886086,81.2752,7.33452,90,0,0,0,0,20.614862
2009-04-01,29.198242,84.54022,7.9826665,91,0,0,0,0,10.886086
2009-04-02,34.037796,84.07666,10.162831,92,0,0,0,0,29.198242
2009-04-03,41.360043,68.127716,12.515812,93,0,0,0,0,34.037796
2009-04-04,47.949955,65.69709,12.827584,94,0,0,0,1,41.360043
2009-04-05,41.302357,66.4352,14.556644,95,0,0,0,1,47.949955
2009-04-06,32.6216,60.585403,14.694661,96,0,0,0,0,41.302357
2009-04-07,38.812855,56.766037,14.331875,97,0,0,0,0,32.6216
2009-04-08,40.456806,54.46771,14.791438,98,0,0,0,0,38.812855
2009-04-09,35.783554,50.244793,15.689461,99,0,0,0,0,40.456806
2009-04-10,35.338062,52.119995,15.677105,100,0,0,0,0,35.783554
2009-04-11,31.423193,50.084583,15.412959,101,0,0,0,1,35.338062
2009-04-12,39.68223,46.573124,14.982104,102,0,0,1,1,31.423193
2009-04-13,62.16411,46.076874,15.06125,103,1,0,0,0,39.68223
2009-04-14,37.69756,53.510822,14.220916,104,0,1,0,0,62.16411
2009-04-15,41.650646,62.242085,13.589897,105,0,0,0,0,37.69756
2009-04-16,38.024723,57.27313,14.451041,106,0,0,0,0,41.650646
2009-04-17,37.764454,53.2375,15.098958,107,0,0,0,0,38.024723
2009-04-18,25.022367,61.519787,12.466332,108,0,0,0,1,37.764454
2009-04-19,12.813884,62.23041,12.585167,109,0,0,0,1,25.022367
2009-04-20,16.956387,70.79354,12.526937,110,0,0,0,0,12.813884
2009-04-21,22.840403,77.66021,14.306455,111,0,0,0,0,16.956387
2009-04-22,30.645876,62.830215,14.82327,112,0,0,0,0,22.840403
2009-04-23,28.146576,47.653534,14.638606,113,0,0,0,0,30.645876
2009-04-24,17.775305,81.05979,9.8915415,114,0,0,0,0,28.146576
2009-04-25,25.390383,64.44313,11.621898,115,0,0,0,1,17.775305
2009-04-26,29.437683,66.696045,12.775417,116,0,0,0,1,25.390383
2009-04-27,29.199083,62.137283,13.853021,117,0,0,0,0,29.437683
2009-04-28,31.046982,61.31395,14.971042,118,0,0,0,0,29.199083
2009-04-29,28.936104,67.44959,13.431872,119,0,0,0,0,31.046982
2009-04-30,17.643005,90.61478,11.240998,120,0,0,1,0,28.936104
2009-05-01,13.544883,68.601875,12.356583,121,1,0,0,0,17.643005
2009-05-02,25.24085,48.034176,16.977503,122,0,1,0,1,13.544883
2009-05-03,27.37908,50.094376,14.246436,123,0,0,0,1,25.24085
2009-05-04,29.603624,65.38436,13.899918,124,0,0,0,0,27.37908
2009-05-05,23.10219,74.312096,11.754643,125,0,0,0,0,29.603624
2009-05-06,14.493699,45.41626,12.98954,126,0,0,0,0,23.10219
2009-05-07,15.444471,52.388332,14.76127,127,0,0,0,0,14.493699
2009-05-08,17.278389,53.41208,17.489796,128,0,0,0,0,15.444471
2009-05-09,24.71863,61.681244,17.925625,129,0,0,0,1,17.278389
2009-05-10,17.27857,56.267925,19.44708,130,0,0,0,1,24.71863
2009-05-11,19.377558,60.73354,19.572292,131,0,0,0,0,17.27857
2009-05-12,25.55713,56.732086,20.902288,132,0,0,0,0,19.377558
2009-05-13,15.387161,79.58895,15.726459,133,0,0,0,0,25.55713
2009-05-14,25.037214,87.64834,11.856458,134,0,0,0,0,15.387161
2009-05-15,26.550552,92.42603,12.51875,135,0,0,0,0,25.037214
2009-05-16,29.826738,87.8729,14.245002,136,0,0,0,1,26.550552
2009-05-17,20.033567,83.14562,16.111874,137,0,0,0,1,29.826738
2009-05-18,20.15333,74.96438,18.480831,138,0,0,0,0,20.033567
2009-05-19,38.920105,74.01667,20.218752,139,0,0,0,0,20.15333
2009-05-20,28.509314,81.15479,18.60104,140,0,0,1,0,38.920105
2009-05-21,24.929985,75.246666,19.27979,141,1,0,0,0,28.509314
2009-05-22,21.950827,65.719154,20.748959,142,0,1,0,0,24.929985
2009-05-23,21.05009,75.60709,19.557497,143,0,0,0,1,21.950827
2009-05-24,17.6644,78.22188,18.309582,144,0,0,0,1,21.05009
2009-05-25,24.227663,73.62417,19.760836,145,0,0,0,0,17.6644
2009-05-26,34.63444,73.04606,22.43688,146,0,0,0,0,24.227663
2009-05-27,32.218464,75.48394,21.63854,147,0,0,0,0,34.63444
2009-05-28,14.464371,81.524376,15.172707,148,0,0,0,0,32.218464
2009-05-29,16.107676,60.14687,14.878937,149,0,0,0,0,14.464371
2009-05-30,7.4852023,47.343334,12.99498,150,0,0,0,1,16.107676
2009-05-31,6.8402944,85.10376,8.144272,151,0,0,1,1,7.4852023
2009-06-01,7.128898,65.255005,13.098687,152,1,0,0,0,6.8402944
2009-06-02,12.666457,75.753334,14.549896,153,0,1,0,0,7.128898
2009-06-03,18.017485,71.58311,15.062645,154,0,0,0,0,12.666457
2009-06-04,16.344465,53.660812,17.648956,155,0,0,0,0,18.017485
2009-06-05,22.805412,60.037495,14.359998,156,0,0,0,0,16.344465
2009-06-06,24.188667,80.229164,14.297708,157,0,0,0,1,22.805412
2009-06-07,23.793633,79.89667,17.500835,158,0,0,0,1,24.188667
2009-06-08,10.55164,80.23106,16.440832,159,0,0,0,0,23.793633
2009-06-09,22.387953,72.940636,17.527105,160,0,0,0,0,10.55164
2009-06-10,20.029993,62.02125,20.075207,161,0,0,1,0,22.387953
2009-06-11,18.69151,66.773125,18.936459,162,1,0,0,0,20.029993
2009-06-12,11.607594,79.651665,16.667913,163,0,1,0,0,18.69151
2009-06-13,,57.337082,17.516457,164,0,0,0,1,11.607594
2009-06-14,12.401944,57.494583,17.808334,165,0,0,0,1,
2009-06-15,15.624051,55.07687,21.098335,166,0,0,0,0,12.401944
2009-06-16,27.70465,64.601875,23.077082,167,0,0,0,0,15.624051
2009-06-17,17.339075,74.65625,19.798962,168,0,0,0,0,27.70465
2009-06-18,14.196243,72.255005,18.58375,169,0,0,0,0,17.339075
2009-06-19,21.259058,65.62064,21.227709,170,0,0,0,0,14.196243
2009-06-20,24.135963,61.888737,23.45875,171,0,0,0,1,21.259058
2009-06-21,7.342264,84.9302,13.930833,172,0,0,0,1,24.135963
2009-06-22,11.99091,55.787495,15.910502,173,0,0,0,0,7.342264
2009-06-23,9.010111,67.15708,13.703957,174,0,0,0,0,11.99091
2009-06-24,5.603604,78.73521,13.972706,175,0,0,0,0,9.010111
2009-06-25,6.7339673,95.48167,14.426248,176,0,0,0,0,5.603604
2009-06-26,14.311485,77.04041,18.611248,177,0,0,0,0,6.7339673
2009-06-27,19.584864,81.66208,17.821457,178,0,0,0,1,14.311485
2009-06-28,14.484573,89.12063,17.859793,179,0,0,0,1,19.584864
2009-06-29,12.247245,95.91604,17.6075,180,0,0,0,0,14.484573
2009-06-30,14.547562,86.29147,19.515413,181,0,0,0,0,12.247245
2009-07-01,19.833939,78.24688,20.41562,182,0,0,0,0,14.547562
2009-07-02,22.214293,79.64938,20.40229,183,0,0,0,0,19.833939
2009-07-03,30.302458,77.62812,21.632294,184,0,0,0,0,22.214293
2009-07-04,29.734818,72.42104,21.92375,185,0,0,0,1,30.302458
2009-07-05,15.350131,67.8973,22.309584,186,0,0,0,1,29.734818
2009-07-06,14.71714,71.93917,21.978958,187,0,0,0,0,15.350131
2009-07-07,14.632961,80.888115,19.709791,188,0,0,0,0,14.71714
2009-07-08,14.017872,80.43917,19.061459,189,0,0,0,0,14.632961
2009-07-09,8.940196,75.88813,16.875834,190,0,0,0,0,14.017872
2009-07-10,10.342558,72.77645,17.65708,191,0,0,0,0,8.940196
2009-07-11,11.329772,79.4423,15.534374,192,0,0,0,1,10.342558
2009-07-12,13.3180685,62.253754,16.987856,193,0,0,0,1,11.329772
2009-07-13,11.461994,61.20145,19.374166,194,0,0,0,0,13.3180685
2009-07-14,24.147821,64.46271,22.590628,195,0,0,0,0,11.461994
