,temp,pm10,pressure,windDirDeg,windPeak,windsp,rh,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend,pm10Lag
2009-01-04,-4.875479,39.97999,982.70404,183.0998,1.9811188,0.6940229,85.29916,4,0,0,0,1,45.170013
2009-01-05,-5.8013167,41.72999,976.06683,168.37534,2.1687832,0.7889438,80.41166,5,0,0,1,0,39.97999
2009-01-06,-3.3528073,60.459976,973.1042,228.18501,1.4617962,0.39300576,78.88771,6,1,0,0,0,41.72999
2009-01-07,-4.173146,57.510006,978.1689,236.91321,1.2916476,0.4382548,87.01292,7,0,1,0,0,60.459976
2009-01-08,-4.5323963,67.42999,976.43536,212.53352,1.5671921,0.46888402,84.07791,8,0,0,0,0,57.510006
2009-01-09,-5.6794586,71.39997,986.57513,192.6751,2.3908167,0.8946064,81.44375,9,0,0,0,0,67.42999
2009-01-10,-7.8725,73.64997,988.875,86.292336,2.7002628,1.123048,80.23375,10,0,0,0,1,71.39997
2009-01-11,-7.8455844,76.97999,988.96686,160.29381,2.0439374,0.7416687,79.637505,11,0,0,0,1,73.64997
2009-01-12,-10.177626,120.700035,992.8811,212.23836,1.7672211,0.5753562,92.157715,12,0,0,0,0,76.97999
2009-01-13,-9.660896,117.54003,991.6313,234.42082,2.094625,0.7333579,91.01959,13,0,0,0,0,120.700035
2009-01-14,-8.586833,113.00995,982.7019,233.78796,2.0929172,0.7001624,89.39334,14,0,0,0,0,117.54003
2009-01-15,-4.6240206,131.12993,973.9522,177.97505,1.400619,0.359341,89.61376,15,0,0,0,0,113.00995
2009-01-16,-0.42845848,146.06004,977.3604,157.38664,1.3703083,0.40963295,90.339806,16,0,0,0,0,131.12993
2009-01-17,1.6122063,45.910004,982.34357,205.82686,1.9743018,0.5632541,81.723526,17,0,0,0,1,146.06004
2009-01-18,0.29184043,54.56003,981.154,141.73647,1.5676107,0.46727493,85.470215,18,0,0,0,1,45.910004
2009-01-19,-1.4494734,64.5,971.43945,179.4513,2.2739856,0.71893215,87.84332,19,0,0,0,0,54.56003
2009-01-20,2.4483016,30.457022,966.57074,150.36116,2.4327755,0.67799854,83.41772,20,0,0,0,0,64.5
2009-01-21,3.1952999,37.459988,960.27094,87.18197,2.816105,1.0965124,90.52646,21,0,0,0,0,30.457022
2009-01-22,3.4737294,31.729988,962.93744,112.46006,2.1314604,0.7614689,94.99581,22,0,0,0,0,37.459988
2009-01-23,2.8059995,21.005993,965.0166,180.44307,2.0676126,0.6233792,89.97314,23,0,0,0,0,31.729988
2009-01-24,1.8071581,30.32601,952.5791,172.99908,1.4321045,0.38076365,90.66791,24,0,0,0,1,21.005993
2009-01-25,2.0703635,27.822012,949.37305,163.54973,1.9248086,0.5668266,89.491035,25,0,0,0,1,30.32601
2009-01-26,3.1405003,22.953001,958.5957,174.16138,2.3135643,0.70234394,77.48771,26,0,0,0,0,27.822012
2009-01-27,2.2187583,38.39001,962.0147,166.8366,1.6732856,0.5265083,82.322075,27,0,0,0,0,22.953001
2009-01-28,1.7425522,20.588009,965.22925,235.49995,3.7187564,1.2557541,91.15252,28,0,0,0,0,38.39001
2009-01-29,2.0145004,8.067996,967.82495,308.425,8.229584,2.9054787,76.85375,29,0,0,0,0,20.588009
2009-01-30,2.476771,8.346995,972.4126,306.53622,5.9975414,1.8545876,69.26438,30,0,0,0,0,8.067996
2009-01-31,0.36946663,29.630003,977.97284,169.13333,2.5911667,0.8113083,82.781654,31,0,0,0,1,8.346995
2009-02-01,-0.48882794,19.614994,974.9417,202.90169,2.4181294,0.78190404,75.47585,32,0,0,0,1,29.630003
2009-02-02,-1.1318955,28.378008,971.4021,161.79543,1.8268439,0.56053346,84.68104,33,0,0,0,0,19.614994
2009-02-03,-0.58802205,35.38,972.56866,171.7802,0.8245022,0.20549895,93.934784,34,0,0,0,0,28.378008
2009-02-04,0.7682629,32.160004,964.8731,135.83324,0.98644376,0.26757252,92.96625,35,0,0,0,0,35.38
2009-02-05,2.395723,51.399998,958.3708,175.80861,1.1969126,0.35048023,91.69626,36,0,0,0,0,32.160004
2009-02-06,2.9959066,32.54001,960.87286,187.28882,2.2411,0.5691559,87.23376,37,0,0,0,0,51.399998
2009-02-07,5.7924995,25.323988,958.0539,113.28217,3.0650418,1.0718938,80.93375,38,0,0,0,1,32.54001
2009-02-08,5.9944577,28.582018,951.4104,201.86586,2.3339484,0.723,86.76208,39,0,0,0,1,25.323988
2009-02-09,5.4612293,9.631996,952.77924,242.10783,4.9846244,1.5660096,75.35271,40,0,0,0,0,28.582018
2009-02-10,2.8130522,18.091002,967.0894,250.2826,3.344958,0.88426465,53.81688,41,0,0,0,0,9.631996
2009-02-11,1.9758434,35.449986,960.5249,143.48997,2.1935792,0.6864541,77.41897,42,0,0,0,0,18.091002
2009-02-12,3.4615374,9.851996,962.2771,262.8127,5.229379,1.437425,61.52479,43,0,0,0,0,35.449986
2009-02-13,1.465748,13.153008,967.0396,264.38763,4.8097086,1.3105823,54.931667,44,0,0,0,0,9.851996
2009-02-14,0.1815998,7.384002,969.6355,274.99454,6.228396,1.6302887,51.513752,45,0,0,0,1,13.153008
2009-02-15,0.9234798,7.523001,972.2334,249.5379,4.4391456,1.1598773,54.159794,46,0,0,0,1,7.384002
2009-02-16,-0.16969909,6.783997,979.8188,289.4175,4.6401916,1.2365568,50.54417,47,0,0,0,0,7.523001
2009-02-17,-1.9321138,31.42501,977.1978,190.69891,1.7392415,0.5423959,62.141872,48,0,0,0,0,6.783997
2009-02-18,-0.373768,28.030016,969.60205,194.47687,3.9572837,1.1314564,72.766045,49,0,0,0,0,31.42501
2009-02-19,-2.2440689,8.985995,977.28125,314.59335,7.1772904,2.0163062,56.28291,50,0,0,0,0,28.030016
2009-02-20,-2.1516018,15.997005,979.34576,270.24515,3.7394035,1.0557564,58.7373,51,0,0,0,0,8.985995
2009-02-21,-1.156924,34.27001,981.46686,210.89606,1.8899792,0.58575636,64.171455,52,0,0,0,1,15.997005
2009-02-22,0.68398184,22.461004,982.3355,181.31804,2.052938,0.62979585,78.73644,53,0,0,0,1,34.27001
2009-02-23,-0.81826454,43.30002,979.2271,188.7813,1.9415956,0.6209938,89.46458,54,0,0,0,0,22.461004
2009-02-24,1.1999965,51.020016,970.86865,186.03322,1.8974142,0.5660077,84.11916,55,0,0,0,0,43.30002
2009-02-25,0.6408171,23.094986,975.69165,103.51096,2.1707208,0.77037096,91.328316,56,0,0,0,0,51.020016
2009-02-26,1.6838773,27.661009,984.87067,199.79108,2.0547168,0.6325145,76.30999,57,0,0,0,0,23.094986
2009-02-27,2.1006968,34.87,978.5042,172.96306,2.2898629,0.71556664,72.44314,58,0,0,0,0,27.661009
2009-02-28,3.6922371,20.153011,973.08527,252.35683,3.0299118,0.87516236,74.259796,59,0,0,0,1,34.87
2009-03-01,6.8923125,22.198,974.625,105.583374,2.7494211,0.9888525,70.5102,60,0,0,0,1,20.153011
2009-03-02,6.5974164,27.030016,971.7686,100.77473,3.0057838,1.1007104,78.80417,61,0,0,0,0,22.198
2009-03-03,6.088104,51.33,972.6523,190.52484,1.7914338,0.5768381,85.75564,62,0,0,0,0,27.030016
2009-03-04,6.7456245,40.900017,973.52496,167.00981,1.9094795,0.5683563,86.82897,63,0,0,0,0,51.33
2009-03-05,6.975792,29.128008,962.2707,131.77979,2.5410748,0.79791474,86.519806,64,0,0,0,0,40.900017
2009-03-06,6.430603,15.413005,945.7126,153.07101,2.7031715,0.7102187,91.17917,65,0,0,0,0,29.128008
2009-03-07,5.4134173,7.601999,950.07916,259.1439,3.3133833,1.0524563,86.19748,66,0,0,0,1,15.413005
2009-03-08,7.271562,2.429499,959.17914,296.71252,11.998314,4.1682916,52.44188,67,0,0,0,1,7.601999
2009-03-09,7.6060824,8.408998,966.48126,262.72617,6.168159,2.0772774,45.79167,68,0,0,0,0,2.429499
2009-03-10,5.1771464,9.944,965.74774,232.40686,4.768563,1.4557627,60.02396,69,0,0,0,0,8.408998
2009-03-11,4.995871,15.315997,971.5605,212.92097,3.2977493,0.9321355,60.96813,70,0,0,0,0,9.944
2009-03-12,5.293957,10.493005,970.98334,247.27281,5.2084584,1.5671519,66.15314,71,0,0,0,0,15.315997
