,temp,pm10,windDirDeg,windPeak,windsp,rh,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend,pm10Lag
2009-01-04,-4.1119523,44.963207,175.85863,1.4432586,0.4037458,81.3252,4,0,0,0,1,49.242645
2009-01-05,-5.5278554,57.932602,165.86217,1.1898519,0.3533752,78.55958,5,0,0,1,0,44.963207
2009-01-06,-2.8748996,75.96253,179.25975,1.4175711,0.33436725,75.777916,6,1,0,0,0,57.932602
2009-01-07,-3.560397,66.428375,163.68689,1.0356374,0.34645203,83.05311,7,0,1,0,0,75.96253
2009-01-08,-3.9010837,71.59831,189.55211,1.4965687,0.49676874,81.66937,8,0,0,0,0,66.428375
2009-01-09,-4.861065,79.393974,168.07983,1.6581067,0.5092792,76.96186,9,0,0,0,0,71.59831
2009-01-10,-7.603314,90.29369,169.5854,1.3423376,0.42636994,77.94686,10,0,0,0,1,79.393974
2009-01-11,-7.456913,92.039185,185.51164,1.0999271,0.31323126,77.09374,11,0,0,0,1,90.29369
2009-01-12,-9.858999,119.44321,205.21248,1.4726294,0.49187192,89.650856,12,0,0,0,0,92.039185
2009-01-13,-9.101103,120.17822,225.92918,1.8766041,0.6317666,89.450836,13,0,0,0,0,119.44321
2009-01-14,-7.9310613,110.05799,198.23503,1.8821248,0.5494903,87.40729,14,0,0,0,0,120.17822
2009-01-15,-4.1525416,131.23499,166.19565,1.2265311,0.33791018,87.09417,15,0,0,0,0,110.05799
2009-01-16,0.061806146,138.18999,160.06715,1.0631645,0.29623187,87.33814,16,0,0,0,0,131.23499
2009-01-17,2.2914097,44.329834,193.59077,1.5001875,0.45659426,78.951454,17,0,0,0,1,138.18999
2009-01-18,0.9299257,38.05403,199.96541,1.4966689,0.43076697,80.76916,18,0,0,0,1,44.329834
2009-01-19,-1.1138506,63.909885,194.73578,1.7022061,0.36931476,85.04626,19,0,0,0,0,38.05403
2009-01-20,3.4205406,29.715477,137.5771,2.0235672,0.43758905,78.651665,20,0,0,0,0,63.909885
2009-01-21,4.562792,40.2591,84.70271,2.119088,0.55793756,84.78979,21,0,0,0,0,29.715477
2009-01-22,4.426271,37.5265,151.5371,1.8987521,0.502931,91.000206,22,0,0,0,0,40.2591
2009-01-23,3.353792,19.41803,203.75702,1.8656317,0.4609448,87.28918,23,0,0,0,0,37.5265
2009-01-24,2.3368895,26.38282,170.66594,1.5074543,0.4409529,87.34519,24,0,0,0,1,19.41803
2009-01-25,2.3487606,31.891981,174.68854,1.1733291,0.27047274,87.77395,25,0,0,0,1,26.38282
2009-01-26,3.7425833,27.816368,189.27002,1.874948,0.50743896,74.8402,26,0,0,0,0,31.891981
2009-01-27,3.1386461,41.426937,139.49028,1.3643104,0.40769938,77.82084,27,0,0,0,0,27.816368
2009-01-28,2.592646,22.879797,149.3109,3.0812418,0.8835854,88.47501,28,0,0,0,0,41.426937
2009-01-29,2.9535415,9.131322,326.6583,11.483562,4.052792,68.3175,29,0,0,0,0,22.879797
2009-01-30,3.313875,10.476918,332.39935,8.038084,2.4362714,62.031662,30,0,0,0,0,9.131322
2009-01-31,0.8805881,29.81222,167.72957,2.1465583,0.70845836,79.93772,31,0,0,0,1,10.476918
2009-02-01,0.30756015,22.373682,215.83446,2.4477832,0.83230835,69.48249,32,0,0,0,1,29.81222
2009-02-02,-0.5487481,26.787148,175.66457,1.6562814,0.53844166,83.21584,33,0,0,0,0,22.373682
2009-02-03,0.05634876,33.82816,186.34619,0.84284776,0.2566702,91.06958,34,0,0,0,0,26.787148
2009-02-04,1.311675,30.242033,155.51646,0.9731407,0.29119894,91.190216,35,0,0,0,0,33.82816
2009-02-05,3.1146667,46.725796,173.61546,1.0559082,0.28800228,88.14144,36,0,0,0,0,30.242033
2009-02-06,3.3624213,30.577623,224.99382,1.6231837,0.3864335,84.61314,37,0,0,0,0,46.725796
2009-02-07,6.5137086,31.291922,144.02345,2.1778,0.53888917,77.42147,38,0,0,0,1,30.577623
2009-02-08,7.021875,32.841816,142.47377,1.911596,0.4877204,82.73063,39,0,0,0,1,31.291922
2009-02-09,6.221041,10.770325,251.75958,5.60986,1.6410041,70.87124,40,0,0,0,0,32.841816
