,temp,rh,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2014-01-04,2.6833333333333336,87.625,138.52173913043478,57.08695652173913,140.95652173913044,46.2875,47.35,932.75,2,,,,,4,0,0,0,1
2014-01-05,6.429166666666667,90.20833333333331,48.130434782608695,35.30434782608695,57.26086956521739,23.45833333333333,46.2875,884.25,2,932.75,,,,5,0,0,1,1
2014-01-06,5.854166666666667,88.95833333333333,52.69565217391305,43.869565217391305,65.1304347826087,21.775,23.45833333333333,643.75,1,884.25,932.75,,,6,1,0,0,0
2014-01-07,2.5500000000000003,92.83333333333331,191.69565217391303,58.47826086956522,184.43478260869568,37.97083333333333,21.775,830.125,2,643.75,884.25,932.75,,7,0,1,0,0
2014-01-08,0.9416666666666668,94.375,191.08695652173915,51.34782608695652,180.04347826086956,40.38333333333333,37.97083333333333,1062.0,2,830.125,643.75,884.25,932.75,8,0,0,0,0
2014-01-09,1.491666666666667,92.5,209.3913043478261,56.60869565217392,197.5652173913044,40.1875,40.38333333333333,1074.25,2,1062.0,830.125,643.75,884.25,9,0,0,0,0
2014-01-10,2.7,89.5,141.65217391304347,54.56521739130435,142.08695652173913,36.675,40.1875,1084.125,2,1074.25,1062.0,830.125,643.75,10,0,0,0,0
2014-01-11,3.5041666666666664,86.54166666666667,82.78260869565217,50.391304347826086,92.82608695652172,40.10416666666666,36.675,1121.25,2,1084.125,1074.25,1062.0,830.125,11,0,0,0,1
2014-01-12,3.0875,88.58333333333333,96.1304347826087,43.60869565217392,100.0,37.22083333333334,40.10416666666666,1033.5,2,1121.25,1084.125,1074.25,1062.0,12,0,0,0,1
2014-01-13,2.6916666666666664,80.29166666666667,181.5217391304348,71.91304347826087,183.2173913043478,52.25833333333333,37.22083333333334,805.5,2,1033.5,1121.25,1084.125,1074.25,13,0,0,0,0
2014-01-14,3.7875,85.83333333333333,144.56521739130434,63.26086956521739,149.1304347826087,52.96666666666667,52.25833333333333,873.625,2,805.5,1033.5,1121.25,1084.125,14,0,0,0,0
2014-01-15,5.2875000000000005,92.16666666666669,80.47826086956522,47.34782608695652,89.21739130434783,42.47916666666666,52.96666666666667,1071.0,2,873.625,805.5,1033.5,1121.25,15,0,0,0,0
2014-01-16,4.066666666666666,87.70833333333333,72.8695652173913,45.56521739130435,82.26086956521739,41.93333333333333,42.47916666666666,1091.375,2,1071.0,873.625,805.5,1033.5,16,0,0,0,0
2014-01-17,5.3500000000000005,79.29166666666667,105.17391304347828,65.47826086956522,118.56521739130434,37.7125,41.93333333333333,1095.0,2,1091.375,1071.0,873.625,805.5,17,0,0,0,0
2014-01-18,6.383333333333333,85.75,73.91304347826087,60.17391304347826,90.69565217391305,30.65,37.7125,1128.625,2,1095.0,1091.375,1071.0,873.625,18,0,0,0,1
2014-01-19,6.420833333333333,92.125,69.69565217391305,55.869565217391305,85.0,30.275,30.65,1030.75,2,1128.625,1095.0,1091.375,1071.0,19,0,0,0,1
