,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2014-01-04,-99,-99,975.341666666667,,,,,69.1304347826087,43.2608695652174,78,38.6458333333333,35.0083333333333,786.4,1,,,,,4,0,0,0,1
2014-01-05,-99,-99,968.270833333333,,,,,24.8260869565217,27.6521739130435,34.2608695652174,26.2545454545455,38.6458333333333,718.3,1,786.4,,,,5,0,0,1,1
2014-01-06,-99,-99,978.091666666667,,,,,26.4545454545455,30.9545454545455,37.3181818181818,19.2583333333333,26.2545454545455,517.3,1,718.3,786.4,,,6,1,0,0,0
2014-01-07,-99,-99,980.2875,,,,,95.6521739130435,38,96.5217391304348,39.3708333333333,19.2583333333333,733.2,1,517.3,718.3,786.4,,7,0,1,0,0
2014-01-08,-99,-99,983.025,,,,,117.217391304348,37.0869565217391,113.391304347826,36.9625,39.3708333333333,958.3,2,733.2,517.3,718.3,786.4,8,0,0,0,0
2014-01-09,-99,-99,978.330434782609,,,,,161.173913043478,44,152.304347826087,40.15,36.9625,962.1,2,958.3,733.2,517.3,718.3,9,0,0,0,0
2014-01-10,-99,-99,976.025,,,,,102.347826086957,42.1304347826087,104.086956521739,34.4041666666667,40.15,987.4,2,962.1,958.3,733.2,517.3,10,0,0,0,0
2014-01-11,-99,-99,978.825,,,,,35.1739130434783,37.8695652173913,48,40.6666666666667,34.4041666666667,1012.2,2,987.4,962.1,958.3,733.2,11,0,0,0,1
2014-01-12,-99,-99,980.9625,,,,,52.6521739130435,32.2608695652174,59.2608695652174,35.8791666666667,40.6666666666667,878.2,2,1012.2,987.4,962.1,958.3,12,0,0,0,1
2014-01-13,-99,-99,976.454166666667,,,,,87.4782608695652,50.5217391304348,96.5217391304348,47.9791666666667,35.8791666666667,616.8,1,878.2,1012.2,987.4,962.1,13,0,0,0,0
2014-01-14,-99,-99,968.316666666667,,,,,76.5217391304348,45.8695652173913,85.304347826087,48.5291666666667,47.9791666666667,751.2,1,616.8,878.2,1012.2,987.4,14,0,0,0,0
2014-01-15,-99,-99,970.75,,,,,51.304347826087,37.2173913043478,60.5652173913044,47.8041666666667,48.5291666666667,972.2,2,751.2,616.8,878.2,1012.2,15,0,0,0,0
2014-01-16,-99,-99,971.3875,,,,,34.7826086956522,34.6956521739131,46.0869565217391,50.4375,47.8041666666667,999.4,2,972.2,751.2,616.8,878.2,16,0,0,0,0
2014-01-17,-99,-99,967.758333333333,,,,,64.6956521739131,48.5217391304348,77.2173913043478,38.0583333333333,50.4375,1027.7,2,999.4,972.2,751.2,616.8,17,0,0,0,0
2014-01-18,-99,-99,968.5,,,,,41.7826086956522,42.8695652173913,55.8695652173913,28.1,38.0583333333333,1060.3,2,1027.7,999.4,972.2,751.2,18,0,0,0,1
