,temp,rh,windDirDeg,windsp,windPeak,windDirClass,o3,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2014-01-04,2.5416666666666665,88.33333333333333,193.125,0.3291666666666666,1.1458333333333333,9.0,0.6521739130434783,99.91304347826087,45.43478260869565,103.95652173913044,52.5875,52.520833333333336,684.75,1,,,,,4,0,0,0,1
2014-01-05,6.4125000000000005,92.04166666666669,247.7083333333333,0.8416666666666667,2.6375,11.0,13.391304347826088,26.82608695652174,29.43478260869565,36.91304347826087,32.829166666666666,52.5875,644.0,1,684.75,,,,5,0,0,1,1
2014-01-06,5.870833333333334,90.33333333333331,154.08333333333334,0.3583333333333333,1.2041666666666666,7.0,13.043478260869565,25.347826086956523,29.65217391304348,35.69565217391305,24.95833333333333,32.829166666666666,411.75,1,644.0,684.75,,,6,1,0,0,0
2014-01-07,2.6083333333333334,95.20833333333331,183.2083333333333,0.3041666666666666,1.0583333333333331,8.0,0.9523809523809524,139.3913043478261,41.95652173913044,133.7826086956522,42.37083333333333,24.95833333333333,591.75,1,411.75,644.0,684.75,,7,0,1,0,0
2014-01-08,0.8166666666666668,98.75,169.45833333333334,0.3333333333333333,1.1125,8.0,0.4782608695652174,123.47826086956522,38.21739130434783,118.8695652173913,36.6625,42.37083333333333,784.25,1,591.75,411.75,644.0,684.75,8,0,0,0,0
2014-01-09,1.3791666666666669,96.29166666666669,164.875,0.3458333333333334,1.1458333333333333,7.0,0.5652173913043478,128.47826086956522,40.21739130434783,124.04347826086956,37.80416666666667,36.6625,776.0,1,784.25,591.75,411.75,644.0,9,0,0,0,0
2014-01-10,2.9625,92.58333333333331,181.8333333333333,0.3875,1.4625,8.0,2.9130434782608696,93.34782608695652,40.47826086956522,96.04347826086956,43.4125,37.80416666666667,792.5,1,776.0,784.25,591.75,411.75,10,0,0,0,0
2014-01-11,3.641666666666667,86.20833333333333,222.29166666666663,0.4791666666666667,1.4708333333333332,10.0,3.8260869565217392,34.69565217391305,39.04347826086956,48.34782608695652,37.87916666666667,43.4125,827.5,2,792.5,776.0,784.25,591.75,11,0,0,0,1
2014-01-12,3.0083333333333333,88.95833333333333,203.625,0.4375,1.4708333333333332,9.0,7.826086956521739,77.30434782608695,34.65217391304348,80.04347826086956,50.55416666666667,37.87916666666667,735.5,1,827.5,792.5,776.0,784.25,12,0,0,0,1
2014-01-13,2.825,81.75,202.16666666666663,0.3,1.1,9.0,3.608695652173913,141.6086956521739,57.82608695652174,143.69565217391303,61.70416666666667,50.55416666666667,522.0,1,735.5,827.5,792.5,776.0,13,0,0,0,0
2014-01-14,3.6208333333333336,86.41666666666667,219.7083333333333,0.1708333333333333,0.7833333333333333,10.0,0.9130434782608696,145.3913043478261,56.0,145.95652173913044,67.07083333333334,61.70416666666667,603.25,1,522.0,735.5,827.5,792.5,14,0,0,0,0
2014-01-15,5.3,91.66666666666669,154.70833333333334,0.4708333333333334,1.3666666666666665,7.0,5.3478260869565215,48.82608695652174,37.130434782608695,58.43478260869565,52.15217391304348,67.07083333333334,790.75,1,603.25,522.0,735.5,827.5,15,0,0,0,0
2014-01-16,4.25,87.45833333333333,180.8333333333333,0.4916666666666667,1.5958333333333332,8.0,5.217391304347826,47.52173913043478,40.30434782608695,59.17391304347826,53.10416666666666,52.15217391304348,793.75,1,790.75,603.25,522.0,735.5,16,0,0,0,0
2014-01-17,5.333333333333333,80.20833333333333,241.16666666666663,0.5583333333333333,1.9125,11.0,9.478260869565217,72.82608695652173,51.130434782608695,85.26086956521739,36.41666666666666,53.10416666666666,808.0,2,793.75,790.75,603.25,522.0,17,0,0,0,0
2014-01-18,6.5125,84.25,249.66666666666663,0.4291666666666667,1.5666666666666669,11.0,5.869565217391305,39.869565217391305,46.47826086956522,56.34782608695652,31.71666666666667,36.41666666666666,830.25,2,808.0,793.75,790.75,603.25,18,0,0,0,1
2014-01-19,6.495833333333334,92.54166666666669,276.2916666666667,0.3583333333333333,1.1916666666666669,12.0,4.086956521739131,45.0,42.91304347826087,58.34782608695652,34.7875,31.71666666666667,748.0,1,830.25,808.0,793.75,790.75,19,0,0,0,1
2014-01-20,7.004166666666666,95.45833333333331,212.54166666666663,0.3583333333333333,1.1583333333333334,9.0,3.3043478260869565,62.34782608695652,44.130434782608695,73.04347826086956,35.15833333333333,34.7875,541.0,1,748.0,830.25,808.0,793.75,20,0,0,0,0
2014-01-21,7.6375,73.70833333333333,264.0416666666667,1.0875,3.0416666666666665,12.0,3.4545454545454546,67.04347826086956,34.34782608695652,71.6086956521739,30.825,35.15833333333333,615.25,1,541.0,748.0,830.25,808.0,21,0,0,0,0
2014-01-22,4.5,83.79166666666667,164.45833333333334,0.6416666666666667,1.6958333333333335,7.0,1.5833333333333333,26.347826086956523,30.43478260869565,36.91304347826087,23.09166666666667,30.825,790.25,1,615.25,541.0,748.0,830.25,22,0,0,0,0
2014-01-23,3.45,94.125,147.25,0.7166666666666667,1.7541666666666669,7.0,0.55,21.30434782608696,29.347826086956523,32.52173913043478,24.73333333333333,23.09166666666667,768.25,1,790.25,615.25,541.0,748.0,23,0,0,0,0
2014-01-24,0.8833333333333333,96.58333333333331,141.625,0.3583333333333333,1.0125,6.0,0.6956521739130435,59.82608695652174,35.34782608695652,66.56521739130434,31.925,24.73333333333333,789.75,1,768.25,790.25,615.25,541.0,24,0,0,0,0
2014-01-25,-0.8791666666666668,91.41666666666669,175.41666666666666,0.6041666666666666,1.9541666666666664,8.0,16.869565217391305,15.826086956521738,32.08695652173913,29.60869565217392,29.3,31.925,810.5,2,789.75,768.25,790.25,615.25,25,0,0,0,1
2014-01-26,-4.991666666666666,86.04166666666667,167.08333333333334,0.8333333333333334,2.2,7.0,34.36363636363637,3.4782608695652173,24.17391304347826,15.391304347826088,51.15833333333333,29.3,724.25,1,810.5,789.75,768.25,790.25,26,0,0,0,1
2014-01-27,-4.2125,87.75,171.375,0.65,1.8125,8.0,17.08695652173913,10.043478260869565,42.82608695652174,30.60869565217392,82.78333333333333,51.15833333333333,518.25,1,724.25,810.5,789.75,768.25,27,0,0,0,0
2014-01-28,-1.9916666666666665,91.04166666666669,186.5,0.4958333333333333,1.4333333333333331,8.0,9.652173913043478,26.5,53.45454545454545,49.36363636363637,105.05,82.78333333333333,601.25,1,518.25,724.25,810.5,789.75,28,0,0,0,0
2014-01-29,-2.1166666666666667,85.875,163.375,0.6375000000000001,1.7125,7.0,34.43478260869565,9.91304347826087,40.47826086956522,29.043478260869566,67.325,105.05,794.5,1,601.25,518.25,724.25,810.5,29,0,0,0,0
2014-01-30,-2.2958333333333334,90.16666666666669,164.5,0.3625,1.1583333333333334,7.0,26.95652173913044,12.521739130434783,52.869565217391305,37.65217391304348,94.7625,67.325,794.25,1,794.5,601.25,518.25,724.25,30,0,0,0,0
2014-01-31,-1.1083333333333334,93.33333333333331,135.70833333333334,0.6041666666666666,1.5791666666666666,6.0,27.82608695652174,9.782608695652174,41.95652173913044,29.73913043478261,59.4625,94.7625,803.5,2,794.25,794.5,601.25,518.25,31,0,0,0,0
2014-02-01,-2.8375,94.16666666666669,155.04166666666666,0.7374999999999999,1.8458333333333328,7.0,41.73913043478261,3.260869565217391,24.65217391304348,15.478260869565217,50.56666666666666,59.4625,840.0,2,803.5,794.25,794.5,601.25,32,0,0,0,1
2014-02-02,-1.3833333333333335,93.75,201.9583333333333,0.2166666666666666,0.8833333333333333,9.0,31.217391304347824,2.6956521739130435,26.08695652173913,15.782608695652174,30.21666666666667,50.56666666666666,738.0,1,840.0,803.5,794.25,794.5,33,0,0,0,1
2014-02-03,-1.2666666666666666,88.08333333333333,122.95833333333331,0.7125,1.7416666666666665,5.0,48.26086956521739,7.086956521739131,27.30434782608696,19.869565217391305,30.129166666666663,30.21666666666667,536.25,1,738.0,840.0,803.5,794.25,34,0,0,0,0
2014-02-04,-2.058333333333333,87.5,171.91666666666666,0.4458333333333333,1.4125,8.0,45.31818181818182,4.782608695652174,28.17391304347826,18.60869565217392,44.3125,30.129166666666663,630.5,1,536.25,738.0,840.0,803.5,35,0,0,0,0
2014-02-05,-1.2583333333333333,94.875,161.0,0.2375,0.9541666666666666,7.0,22.82608695652174,7.739130434782608,35.391304347826086,24.695652173913043,78.27916666666667,44.3125,805.75,2,630.5,536.25,738.0,840.0,36,0,0,0,0
2014-02-06,0.5291666666666667,95.33333333333331,200.79166666666663,0.2749999999999999,1.0,9.0,1.6956521739130437,91.22727272727272,69.4090909090909,109.5909090909091,80.85416666666667,78.27916666666667,814.0,2,805.75,630.5,536.25,738.0,37,0,0,0,0
2014-02-07,2.2583333333333333,91.95833333333331,222.4583333333333,0.525,2.15,10.0,4.130434782608695,72.8695652173913,69.82608695652173,95.0,33.25833333333333,80.85416666666667,768.0,1,814.0,805.75,630.5,536.25,38,0,0,0,0
2014-02-08,3.975,93.0,190.0,0.5,1.675,8.0,20.17391304347826,11.826086956521738,40.47826086956522,30.782608695652176,23.15,33.25833333333333,850.5,2,768.0,814.0,805.75,630.5,39,0,0,0,1
2014-02-09,3.045833333333333,92.41666666666669,276.5416666666667,0.9166666666666666,2.5708333333333333,12.0,18.26086956521739,9.521739130434783,35.608695652173914,26.13043478260869,21.916666666666668,23.15,752.0,1,850.5,768.0,814.0,805.75,40,0,0,0,1
2014-02-10,2.154166666666667,91.75,203.29166666666663,0.2958333333333333,1.3416666666666668,9.0,3.130434782608696,49.17391304347826,60.78260869565217,71.21739130434783,33.987500000000004,21.916666666666668,547.0,1,752.0,850.5,768.0,814.0,41,0,0,0,0
2014-02-11,4.729166666666667,93.20833333333331,233.54166666666663,0.3625,1.3875,10.0,0.7391304347826086,51.43478260869565,48.78260869565217,66.65217391304348,34.6875,33.987500000000004,632.75,1,547.0,752.0,850.5,768.0,42,0,0,0,0
2014-02-12,2.591666666666667,94.45833333333331,165.83333333333334,0.4958333333333333,1.5458333333333334,7.0,10.26086956521739,74.08695652173913,50.130434782608695,85.65217391304348,33.12173913043478,34.6875,788.75,1,632.75,547.0,752.0,850.5,43,0,0,0,0
2014-02-13,1.4916666666666665,86.20833333333333,154.75,0.4916666666666667,1.775,7.0,5.869565217391305,78.3913043478261,55.78260869565217,92.04347826086956,41.583333333333336,33.12173913043478,794.5,1,788.75,632.75,547.0,752.0,44,0,0,0,0
2014-02-14,5.341666666666666,68.5,241.0833333333333,0.6375000000000001,2.154166666666667,11.0,18.13043478260869,49.30434782608695,50.52173913043478,65.91304347826087,34.80434782608695,41.583333333333336,840.0,2,794.5,788.75,632.75,547.0,45,0,0,0,0
2014-02-15,4.358333333333333,69.95833333333333,199.16666666666663,0.4291666666666667,1.8916666666666664,9.0,11.91304347826087,26.043478260869566,47.60869565217392,45.69565217391305,38.525,34.80434782608695,846.5,2,840.0,794.5,788.75,632.75,46,0,0,0,1
2014-02-16,5.8125,79.58333333333333,226.25,0.9,2.6375,10.0,26.26086956521739,3.652173913043478,32.52173913043478,19.869565217391305,18.495833333333334,38.525,730.25,1,846.5,840.0,794.5,788.75,47,0,0,0,1
2014-02-17,2.325,96.41666666666669,162.45833333333334,0.3791666666666666,1.3541666666666667,7.0,16.434782608695652,43.04347826086956,56.65217391304348,64.1304347826087,19.08333333333333,18.495833333333334,529.5,1,730.25,846.5,840.0,794.5,48,0,0,0,0
2014-02-18,2.2125,95.08333333333331,198.41666666666663,0.375,1.4166666666666667,9.0,15.26086956521739,14.173913043478262,39.91304347826087,32.08695652173913,22.02083333333333,19.08333333333333,589.5,1,529.5,730.25,846.5,840.0,49,0,0,0,0
