,temp,rh,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2014-01-04,3.470833333333333,84.29166666666667,198.0,0.2041666666666667,1.0416666666666667,9.0,62.869565217391305,42.130434782608695,72.43478260869566,34.0875,31.816666666666663,1406.0,2,,,,,4,0,0,0,1
2014-01-05,6.9375,86.58333333333333,198.79166666666663,0.6875,3.225,9.0,19.043478260869566,25.26086956521739,28.565217391304348,21.65833333333333,34.0875,1321.0,2,1406.0,,,,5,0,0,1,1
2014-01-06,6.483333333333333,82.91666666666667,180.7083333333333,0.2125,0.975,8.0,19.26086956521739,29.39130434782609,30.82608695652174,14.4,21.65833333333333,1083.0,2,1321.0,1406.0,,,6,1,0,0,0
2014-01-07,3.3833333333333333,89.54166666666667,168.04166666666666,0.2375,1.0458333333333334,7.0,98.17391304347828,37.47826086956522,98.21739130434784,30.7125,14.4,1356.5,2,1083.0,1321.0,1406.0,,7,0,1,0,0
2014-01-08,1.6416666666666666,91.125,182.375,0.3083333333333333,0.9625,8.0,158.91304347826087,41.52173913043478,149.17391304347825,38.375,30.7125,1651.0,3,1356.5,1083.0,1321.0,1406.0,8,0,0,0,0
2014-01-09,2.0083333333333333,88.875,181.66666666666663,0.3041666666666666,0.9958333333333332,8.0,181.8260869565217,45.65217391304348,169.69565217391303,38.15,38.375,1670.5,3,1651.0,1356.5,1083.0,1321.0,9,0,0,0,0
2014-01-10,3.283333333333333,85.16666666666667,165.0,0.3583333333333333,1.45,7.0,90.52173913043478,39.26086956521739,93.17391304347828,28.941666666666663,38.15,1689.5,3,1670.5,1651.0,1356.5,1083.0,10,0,0,0,0
2014-01-11,3.7125,83.0,123.75,0.4125,1.3541666666666667,5.0,35.47826086956522,37.43478260869565,48.04347826086956,28.929166666666664,28.941666666666663,1746.5,3,1689.5,1670.5,1651.0,1356.5,11,0,0,0,1
2014-01-12,3.825,84.375,144.20833333333334,0.3791666666666666,1.4958333333333331,6.0,40.130434782608695,30.30434782608696,48.0,29.84166666666667,28.929166666666664,1600.5,3,1746.5,1689.5,1670.5,1651.0,12,0,0,0,1
2014-01-13,3.45,76.375,156.33333333333334,0.3333333333333333,1.2958333333333334,7.0,74.43478260869566,46.78260869565217,84.21739130434783,34.65,29.84166666666667,1291.5,2,1600.5,1746.5,1689.5,1670.5,13,0,0,0,0
2014-01-14,4.2,82.95833333333333,135.66666666666666,0.2583333333333333,1.0791666666666666,6.0,77.04347826086956,46.78260869565217,86.17391304347827,54.8,34.65,1419.5,2,1291.5,1600.5,1746.5,1689.5,14,0,0,0,0
2014-01-15,5.520833333333333,89.83333333333333,147.83333333333334,0.2875,1.2166666666666666,7.0,25.782608695652176,33.869565217391305,38.43478260869565,40.3875,54.8,1669.0,3,1419.5,1291.5,1600.5,1746.5,15,0,0,0,0
2014-01-16,4.541666666666667,83.83333333333333,170.08333333333334,0.4083333333333334,1.4166666666666667,8.0,25.47826086956522,35.391304347826086,38.95652173913044,34.775,40.3875,1698.5,3,1669.0,1419.5,1291.5,1600.5,16,0,0,0,0
2014-01-17,5.654166666666666,77.5,114.625,0.6041666666666666,2.1958333333333333,5.0,41.91304347826087,44.47826086956522,56.82608695652174,27.579166666666666,34.775,1710.0,3,1698.5,1669.0,1419.5,1291.5,17,0,0,0,0
2014-01-18,6.854166666666667,82.25,77.41666666666667,0.4375,1.6875,3.0,25.82608695652174,40.26086956521739,41.69565217391305,21.004166666666663,27.579166666666666,1754.0,3,1710.0,1698.5,1669.0,1419.5,18,0,0,0,1
2014-01-19,6.983333333333333,89.75,115.20833333333331,0.35,1.3958333333333333,5.0,23.91304347826087,38.82608695652174,39.47826086956522,24.4125,21.004166666666663,1595.0,3,1754.0,1710.0,1698.5,1669.0,19,0,0,0,1
2014-01-20,7.083333333333333,92.75,129.0,0.3166666666666667,1.0875,6.0,48.130434782608695,39.69565217391305,59.391304347826086,25.20833333333333,24.4125,1302.5,2,1595.0,1754.0,1710.0,1698.5,20,0,0,0,0
2014-01-21,8.125,62.79166666666666,203.2083333333333,0.8833333333333333,3.375,9.0,16.652173913043477,27.30434782608696,27.43478260869565,11.354166666666666,25.20833333333333,1455.0,2,1302.5,1595.0,1754.0,1710.0,21,0,0,0,0
2014-01-22,4.808333333333334,81.54166666666667,183.79166666666663,0.4916666666666667,1.5916666666666668,8.0,20.17391304347826,28.565217391304348,31.08695652173913,15.620833333333332,11.354166666666666,1632.5,3,1455.0,1302.5,1595.0,1754.0,22,0,0,0,0
2014-01-23,3.4958333333333336,92.5,166.66666666666666,0.4791666666666667,1.4875,7.0,17.347826086956523,26.47826086956522,27.869565217391305,17.0625,15.620833333333332,1602.5,3,1632.5,1455.0,1302.5,1595.0,23,0,0,0,0
2014-01-24,1.1041666666666667,93.79166666666669,172.08333333333334,0.3541666666666667,1.1208333333333331,8.0,36.13636363636363,29.90909090909091,44.54545454545455,19.133333333333333,17.0625,1679.0,3,1602.5,1632.5,1455.0,1302.5,24,0,0,0,0
2014-01-25,-0.7125,87.79166666666667,185.04166666666663,0.6083333333333333,1.8958333333333333,8.0,19.82608695652174,31.782608695652176,32.47826086956522,18.78,19.133333333333333,1717.0,3,1679.0,1602.5,1632.5,1455.0,25,0,0,0,1
2014-01-26,-4.716666666666667,82.375,171.83333333333334,0.65,1.8666666666666665,8.0,1.434782608695652,22.95652173913044,13.217391304347826,30.676470588235293,18.78,1563.5,3,1717.0,1679.0,1602.5,1632.5,26,0,0,0,1
2014-01-27,-3.991666666666666,85.33333333333333,173.16666666666666,0.5875,1.6833333333333331,8.0,10.043478260869565,44.52173913043478,31.26086956521739,,30.676470588235293,1282.0,2,1563.5,1717.0,1679.0,1602.5,27,0,0,0,0
2014-01-28,-1.8333333333333333,88.34782608695652,184.4583333333333,0.4434782608695652,1.2869565217391306,8.0,23.454545454545453,52.82608695652174,46.54545454545455,72.1625,,1421.5,2,1282.0,1563.5,1717.0,1679.0,28,0,0,0,0
2014-01-29,-1.9666666666666668,81.75,176.16666666666666,0.5750000000000001,1.6583333333333334,8.0,7.913043478260869,38.130434782608695,26.17391304347826,57.4,72.1625,1633.0,3,1421.5,1282.0,1563.5,1717.0,29,0,0,0,0
2014-01-30,-2.158333333333333,87.625,174.625,0.425,1.3125,8.0,12.26086956521739,49.52173913043478,35.869565217391305,78.55416666666666,57.4,1669.0,3,1633.0,1421.5,1282.0,1563.5,30,0,0,0,0
2014-01-31,-0.9708333333333332,91.91666666666669,137.875,0.5208333333333334,1.5916666666666668,6.0,6.478260869565218,40.65217391304348,26.47826086956522,52.770833333333336,78.55416666666666,1698.5,3,1669.0,1633.0,1421.5,1282.0,31,0,0,0,0
2014-02-01,-2.6125000000000003,93.25,174.625,0.5458333333333333,1.6125,8.0,1.3478260869565215,24.95652173913044,14.217391304347826,40.90833333333333,52.770833333333336,1753.0,3,1698.5,1669.0,1633.0,1421.5,32,0,0,0,1
2014-02-02,-1.2416666666666667,91.45833333333331,180.4583333333333,0.3374999999999999,1.0541666666666667,8.0,1.826086956521739,24.782608695652176,14.434782608695652,24.383333333333336,40.90833333333333,1577.0,3,1753.0,1698.5,1669.0,1633.0,33,0,0,0,1
2014-02-03,-1.1875,86.58333333333333,129.58333333333334,0.3833333333333333,1.5125,6.0,2.565217391304348,29.043478260869566,17.304347826086957,25.44583333333333,24.383333333333336,1285.5,2,1577.0,1753.0,1698.5,1669.0,34,0,0,0,0
2014-02-04,-2.0416666666666665,85.54166666666667,201.66666666666663,0.5,1.4375,9.0,2.347826086956522,25.82608695652174,15.478260869565217,34.50833333333333,25.44583333333333,1430.5,2,1285.5,1577.0,1753.0,1698.5,35,0,0,0,0
2014-02-05,-1.2625,93.16666666666669,184.0833333333333,0.3208333333333333,1.0541666666666667,8.0,11.043478260869565,43.30434782608695,31.65217391304348,71.2,34.50833333333333,1683.5,3,1430.5,1285.5,1577.0,1753.0,36,0,0,0,0
2014-02-06,0.7791666666666667,92.04166666666669,198.2083333333333,0.2749999999999999,1.0166666666666668,9.0,102.91304347826087,72.3913043478261,120.43478260869566,72.12083333333334,71.2,1695.5,3,1683.5,1430.5,1285.5,1577.0,37,0,0,0,0
2014-02-07,2.558333333333333,86.33333333333333,179.04166666666666,0.5083333333333333,2.5083333333333333,8.0,46.04347826086956,58.56521739130435,67.56521739130434,24.0625,72.12083333333334,1601.0,3,1695.5,1683.5,1430.5,1285.5,38,0,0,0,0
2014-02-08,4.0625,89.125,177.5,0.3416666666666666,1.6208333333333331,8.0,7.739130434782608,36.869565217391305,25.43478260869565,14.945833333333333,24.0625,1760.5,3,1601.0,1695.5,1683.5,1430.5,39,0,0,0,1
2014-02-09,3.1166666666666667,89.20833333333333,150.20833333333334,0.7458333333333332,3.029166666666667,7.0,5.391304347826087,34.65217391304348,22.43478260869565,17.091666666666665,14.945833333333333,1599.5,3,1760.5,1601.0,1695.5,1683.5,40,0,0,0,1
2014-02-10,2.2625,86.08333333333333,175.625,0.3875,1.5,8.0,39.73913043478261,56.91304347826087,61.60869565217392,25.058333333333334,17.091666666666665,1287.5,2,1599.5,1760.5,1601.0,1695.5,41,0,0,0,0
2014-02-11,4.741666666666666,90.66666666666669,145.0,0.2875,1.1458333333333333,6.0,52.69565217391305,46.17391304347826,66.3913043478261,30.3625,25.058333333333334,1435.5,2,1287.5,1599.5,1760.5,1601.0,42,0,0,0,0
2014-02-12,3.7375,87.16666666666667,160.16666666666666,0.4166666666666667,1.8541666666666667,7.0,31.043478260869566,43.08695652173913,47.43478260869565,18.3125,30.3625,1652.5,3,1435.5,1287.5,1599.5,1760.5,43,0,0,0,0
2014-02-13,2.8083333333333336,79.75,163.33333333333334,0.3958333333333333,1.5625,7.0,76.43478260869566,51.43478260869565,88.17391304347827,33.74583333333333,18.3125,1641.0,3,1652.5,1435.5,1287.5,1599.5,44,0,0,0,0
2014-02-14,6.0625,63.29166666666666,148.79166666666666,0.6166666666666667,2.3541666666666665,7.0,27.82608695652174,45.04347826086956,45.82608695652174,26.816666666666663,33.74583333333333,1720.5,3,1641.0,1652.5,1435.5,1287.5,45,0,0,0,0
2014-02-15,5.3375,67.79166666666667,111.5,0.5833333333333334,2.208333333333333,5.0,14.826086956521738,45.391304347826086,35.65217391304348,27.17083333333333,26.816666666666663,1766.5,3,1720.5,1641.0,1652.5,1435.5,46,0,0,0,1
2014-02-16,5.616666666666667,82.29166666666667,106.33333333333331,0.6791666666666667,2.6083333333333334,5.0,5.782608695652174,33.0,22.0,13.9125,27.17083333333333,1589.5,3,1766.5,1720.5,1641.0,1652.5,47,0,0,0,1
2014-02-17,3.220833333333333,91.625,153.45833333333334,0.3625,1.4208333333333334,7.0,14.869565217391305,36.69565217391305,31.043478260869566,8.670833333333333,13.9125,1263.0,2,1589.5,1766.5,1720.5,1641.0,48,0,0,0,0
2014-02-18,3.208333333333333,90.04166666666667,214.29166666666663,0.4208333333333333,1.4291666666666665,10.0,11.434782608695652,41.04347826086956,30.60869565217392,20.77083333333333,8.670833333333333,1370.0,2,1263.0,1589.5,1766.5,1720.5,49,0,0,0,0
2014-02-19,6.0375000000000005,85.58333333333333,154.25,0.3833333333333333,1.8791666666666669,7.0,31.30434782608696,41.73913043478261,46.95652173913044,28.42083333333333,20.77083333333333,1596.0,3,1370.0,1263.0,1589.5,1766.5,50,0,0,0,0
2014-02-20,6.3375,85.20833333333333,143.625,0.2625,1.1,6.0,22.95652173913044,42.04347826086956,40.47826086956522,20.05,28.42083333333333,1536.0,3,1596.0,1370.0,1263.0,1589.5,51,0,0,0,0
2014-02-21,6.7250000000000005,79.66666666666667,134.25,0.4041666666666666,1.3791666666666669,6.0,35.69565217391305,35.869565217391305,47.30434782608695,37.7625,20.05,1654.0,3,1536.0,1596.0,1370.0,1263.0,52,0,0,0,0
2014-02-22,6.55,75.95833333333333,205.4583333333333,0.5625,2.1083333333333334,9.0,5.086956521739131,23.0,16.0,15.829166666666666,37.7625,1603.0,3,1654.0,1536.0,1596.0,1370.0,53,0,0,0,1
2014-02-23,6.704166666666667,45.54166666666666,250.8333333333333,1.025,3.391666666666667,11.0,2.130434782608696,19.17391304347826,11.695652173913045,10.120833333333334,15.829166666666666,1461.0,2,1603.0,1654.0,1536.0,1596.0,54,0,0,0,1
